,username,Tribe,Leadership score,Neighourhood density
2,j4ck.eth,0,0.014248851359953407,0.36200923787528866
3,ccarella.eth,3,0.03478593459198867,0.3044077134986226
8,pugson,0,0.00380366802727802,0.5181676766269647
12,max,1,0.006560779456844761,0.40011503647867286
18,nonlinear.eth,0,0.00028219872536860584,0.7511737089201878
23,4156,0,0.00017605115243412943,0.7716498103666245
25,dwr.eth,0,0.0027840354816214877,0.5425306347239433
37,yitong,0,0.0026685769635616326,0.5402269719241926
39,giu,2,0.0006615486053867848,0.7052669230081373
43,mg,0,0.001050159276768041,0.6281715720314086
51,vercelabloh,0,0.0025444198364894953,0.546428105001959
56,whatrocks,1,0.00975809500975589,0.37559055118110235
60,felix,0,0.0019699172667416863,0.5421194495673145
66,kyle,2,0.0007934077288677061,0.7091067159313192
73,vm,1,0.005873467779685634,0.41042886532679224
88,w1nt3r,0,8.83653060854099e-05,0.805921052631579
99,salvino,1,0.012240823296647942,0.3652233482153403
101,grace,0,0.002247866645575674,0.5223641223641223
108,gabrielayuso.eth,1,0.005205108278218176,0.43480641514766144
114,ba,0,0.00020560923894446156,0.7501086484137331
124,nicholas,1,0.0054342251197501065,0.4210793952132348
125,jacky,0,0.0003692007211206755,0.7274444969296174
127,benersing,0,0.0015899236018559193,0.5399031811894882
129,avichalp,1,0.009051675294974828,0.39027631862081186
132,kepano.eth,0,0.00038853357959859773,0.6916171024576366
133,jalil.eth,0,0.0007004902199413841,0.707035175879397
143,yashkarthik,1,0.006722416237423201,0.40091517592702286
144,trent,0,0.0008120325855471473,0.6699764982373678
154,thatalexpalmer.eth,0,2.0552687355586923e-05,0.8269230769230769
162,deniz,0,4.346537581022604e-05,0.8583724569640062
166,robrecht.eth,0,0.0004072839653274969,0.64344184275652
169,stevef,0,0.0010857456938487985,0.6304347826086957
191,link,0,0.0001807397437204707,0.777265953122883
193,maybeimwasabi,0,9.949403661443659e-05,0.8228764478764479
194,drewbeechler,1,0.0049273318483027545,0.46030970729765913
204,uncledavo,0,0.00011787642103523499,0.8123232323232323
206,andreitr.eth,0,6.43858112768454e-05,0.7096774193548387
207,cedric,1,0.008794043072188019,0.3909001305309145
217,keccers,0,0.00022781636449465564,0.7483673197387711
224,whit,0,0.0030557844389209107,0.5235783633841886
234,seanbonner.eth,0,2.549471496606343e-05,0.885045045045045
239,davidmoon,1,0.006295188973366245,0.41327006064429184
251,gregyounger,1,0.005553893689352588,0.419231264486222
260,m-j-r.eth,1,0.00013509449130574483,0.7707865168539326
269,mattlee,2,0.00021754989942265654,0.7828187919463088
274,robocopsgonemad,1,0.006011468471764296,0.40732697573411386
276,foxwizard,0,0.0008160603131613157,0.6916175929333824
283,lajos,1,0.004140007975626056,0.42940830721003137
302,dyor,0,0.0024699678112876616,0.5321301474326385
303,seanwince,0,0.0002624627286869959,0.7220718503937008
311,jaenart,0,0.0005456929041042518,0.7198281154082259
312,moei,1,0.014559800356202314,0.35210882269255184
324,tcw,0,6.419603560342228e-05,0.8493094207379922
325,lefteris.eth,1,0.006385221810805134,0.41770962840171294
347,toley.eth,1,0.007691238311145806,0.4005498018156246
350,lawl,2,0.0007724211482981352,0.6908656145384984
358,foodmasku,0,0.002276004081339112,0.5567359469798494
359,boiler,1,0.0069163399501696934,0.41048487360132613
368,gregor,1,0.0074449707518647905,0.4024933338917508
369,0xracer,0,0.0006543516927440747,0.6956279587858535
373,galazio,1,0.0074593089132849325,0.3936167319408181
375,jrdsctt,0,2.7575996495032523e-05,0.8077922077922078
378,winstonlaoh,1,0.009715976824819688,0.3832803391626921
426,elina,0,0.0023251401090196586,0.5477364740522636
431,0xness,1,0.009084570319437175,0.3938619557300347
443,gill,0,0.00026631431303226295,0.7914456684346525
451,floodingfactory,1,0.004973228955349315,0.4563778282778382
457,dnopz.eth,1,0.005556579053431506,0.4327485380116959
465,slimesunday,0,0.00010562807757143807,0.7551912568306011
467,chops,0,7.392026656452967e-06,0.9292929292929293
472,schmevin,1,0.008316819843960658,0.39205092767098043
473,christin,1,0.009505363545451421,0.39229604885432434
474,bry,1,0.004753512245600368,0.45453503038642357
528,,1,0.007212107529350481,0.4061610719712668
